From File,To File,References,From Entities,To Entities
Blockinger\src\org\blockinger\game\activities\AboutActivity.java,Blockinger\gen\org\blockinger\game\R.java,11,6,8
Blockinger\src\org\blockinger\game\activities\AdvancedSettingsActivity.java,Blockinger\gen\org\blockinger\game\R.java,11,3,5
Blockinger\src\org\blockinger\game\activities\DefeatDialogFragment.java,Blockinger\gen\org\blockinger\game\R.java,13,2,8
Blockinger\src\org\blockinger\game\activities\DefeatDialogFragment.java,Blockinger\src\org\blockinger\game\activities\GameActivity.java,2,1,2
Blockinger\src\org\blockinger\game\activities\GameActivity.java,Blockinger\gen\org\blockinger\game\R.java,57,10,15
Blockinger\src\org\blockinger\game\activities\GameActivity.java,Blockinger\src\org\blockinger\game\activities\DefeatDialogFragment.java,4,3,3
Blockinger\src\org\blockinger\game\activities\GameActivity.java,Blockinger\src\org\blockinger\game\activities\MainActivity.java,2,1,2
Blockinger\src\org\blockinger\game\activities\GameActivity.java,Blockinger\src\org\blockinger\game\BlockBoardView.java,7,3,3
Blockinger\src\org\blockinger\game\activities\GameActivity.java,Blockinger\src\org\blockinger\game\components\Controls.java,18,10,16
Blockinger\src\org\blockinger\game\activities\GameActivity.java,Blockinger\src\org\blockinger\game\components\Display.java,4,3,2
Blockinger\src\org\blockinger\game\activities\GameActivity.java,Blockinger\src\org\blockinger\game\components\GameState.java,21,8,15
Blockinger\src\org\blockinger\game\activities\GameActivity.java,Blockinger\src\org\blockinger\game\components\Sound.java,15,7,10
Blockinger\src\org\blockinger\game\activities\GameActivity.java,Blockinger\src\org\blockinger\game\WorkThread.java,7,4,4
Blockinger\src\org\blockinger\game\activities\HelpActivity.java,Blockinger\gen\org\blockinger\game\R.java,33,9,19
Blockinger\src\org\blockinger\game\activities\MainActivity.java,Blockinger\gen\org\blockinger\game\R.java,63,9,33
Blockinger\src\org\blockinger\game\activities\MainActivity.java,Blockinger\src\org\blockinger\game\activities\GameActivity.java,2,2,2
Blockinger\src\org\blockinger\game\activities\MainActivity.java,Blockinger\src\org\blockinger\game\components\GameState.java,3,3,3
Blockinger\src\org\blockinger\game\activities\MainActivity.java,Blockinger\src\org\blockinger\game\components\Sound.java,13,7,8
Blockinger\src\org\blockinger\game\activities\MainActivity.java,Blockinger\src\org\blockinger\game\db\HighscoreOpenHelper.java,3,2,3
Blockinger\src\org\blockinger\game\activities\MainActivity.java,Blockinger\src\org\blockinger\game\db\ScoreDataSource.java,12,7,6
Blockinger\src\org\blockinger\game\activities\SettingsActivity.java,Blockinger\gen\org\blockinger\game\R.java,3,2,3
Blockinger\src\org\blockinger\game\Animator.java,Blockinger\gen\org\blockinger\game\R.java,4,1,3
Blockinger\src\org\blockinger\game\Animator.java,Blockinger\src\org\blockinger\game\components\Board.java,6,6,2
Blockinger\src\org\blockinger\game\Animator.java,Blockinger\src\org\blockinger\game\Row.java,5,5,3
Blockinger\src\org\blockinger\game\BlockBoardView.java,Blockinger\src\org\blockinger\game\activities\GameActivity.java,5,5,3
Blockinger\src\org\blockinger\game\components\Board.java,Blockinger\gen\org\blockinger\game\R.java,5,2,4
Blockinger\src\org\blockinger\game\components\Board.java,Blockinger\src\org\blockinger\game\activities\GameActivity.java,5,5,3
Blockinger\src\org\blockinger\game\components\Board.java,Blockinger\src\org\blockinger\game\components\Component.java,9,5,3
Blockinger\src\org\blockinger\game\components\Board.java,Blockinger\src\org\blockinger\game\components\Display.java,2,2,1
Blockinger\src\org\blockinger\game\components\Board.java,Blockinger\src\org\blockinger\game\components\GameState.java,1,1,1
Blockinger\src\org\blockinger\game\components\Board.java,Blockinger\src\org\blockinger\game\Row.java,40,17,14
Blockinger\src\org\blockinger\game\components\Board.java,Blockinger\src\org\blockinger\game\Square.java,4,4,2
Blockinger\src\org\blockinger\game\components\Component.java,Blockinger\src\org\blockinger\game\activities\GameActivity.java,4,4,1
Blockinger\src\org\blockinger\game\components\Controls.java,Blockinger\gen\org\blockinger\game\R.java,5,3,5
Blockinger\src\org\blockinger\game\components\Controls.java,Blockinger\src\org\blockinger\game\activities\GameActivity.java,116,13,4
Blockinger\src\org\blockinger\game\components\Controls.java,Blockinger\src\org\blockinger\game\components\Board.java,10,5,3
Blockinger\src\org\blockinger\game\components\Controls.java,Blockinger\src\org\blockinger\game\components\Component.java,128,15,5
Blockinger\src\org\blockinger\game\components\Controls.java,Blockinger\src\org\blockinger\game\components\Display.java,6,1,1
Blockinger\src\org\blockinger\game\components\Controls.java,Blockinger\src\org\blockinger\game\components\GameState.java,102,10,21
Blockinger\src\org\blockinger\game\components\Controls.java,Blockinger\src\org\blockinger\game\components\Sound.java,5,5,1
Blockinger\src\org\blockinger\game\components\Controls.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,13,3,8
Blockinger\src\org\blockinger\game\components\Display.java,Blockinger\gen\org\blockinger\game\R.java,1,1,1
Blockinger\src\org\blockinger\game\components\Display.java,Blockinger\src\org\blockinger\game\activities\GameActivity.java,23,8,3
Blockinger\src\org\blockinger\game\components\Display.java,Blockinger\src\org\blockinger\game\components\Board.java,6,2,6
Blockinger\src\org\blockinger\game\components\Display.java,Blockinger\src\org\blockinger\game\components\Component.java,50,10,3
Blockinger\src\org\blockinger\game\components\Display.java,Blockinger\src\org\blockinger\game\components\Controls.java,2,1,2
Blockinger\src\org\blockinger\game\components\Display.java,Blockinger\src\org\blockinger\game\components\GameState.java,19,6,11
Blockinger\src\org\blockinger\game\components\Display.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,13,5,8
Blockinger\src\org\blockinger\game\components\Display.java,Blockinger\src\org\blockinger\game\Row.java,2,2,1
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\gen\org\blockinger\game\R.java,1,1,1
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\activities\GameActivity.java,13,7,4
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\components\Board.java,5,4,3
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\components\Component.java,61,11,5
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\components\Display.java,1,1,1
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\components\Sound.java,6,2,4
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\PieceGenerator.java,17,5,5
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\pieces\IPiece.java,4,1,2
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\pieces\JPiece.java,4,1,2
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\pieces\LPiece.java,4,1,2
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\pieces\OPiece.java,4,1,2
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,13,8,6
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\pieces\SPiece.java,4,1,2
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\pieces\TPiece.java,4,1,2
Blockinger\src\org\blockinger\game\components\GameState.java,Blockinger\src\org\blockinger\game\pieces\ZPiece.java,4,1,2
Blockinger\src\org\blockinger\game\components\Sound.java,Blockinger\gen\org\blockinger\game\R.java,17,4,11
Blockinger\src\org\blockinger\game\db\ScoreDataSource.java,Blockinger\src\org\blockinger\game\db\HighscoreOpenHelper.java,16,6,6
Blockinger\src\org\blockinger\game\db\ScoreDataSource.java,Blockinger\src\org\blockinger\game\db\Score.java,11,6,6
Blockinger\src\org\blockinger\game\pieces\IPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,12,2,4
Blockinger\src\org\blockinger\game\pieces\IPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece4x4.java,2,2,2
Blockinger\src\org\blockinger\game\pieces\IPiece.java,Blockinger\src\org\blockinger\game\Square.java,4,3,2
Blockinger\src\org\blockinger\game\pieces\JPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,12,2,4
Blockinger\src\org\blockinger\game\pieces\JPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece3x3.java,2,2,2
Blockinger\src\org\blockinger\game\pieces\JPiece.java,Blockinger\src\org\blockinger\game\Square.java,4,3,2
Blockinger\src\org\blockinger\game\pieces\LPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,12,2,4
Blockinger\src\org\blockinger\game\pieces\LPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece3x3.java,2,2,2
Blockinger\src\org\blockinger\game\pieces\LPiece.java,Blockinger\src\org\blockinger\game\Square.java,4,3,2
Blockinger\src\org\blockinger\game\pieces\OPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece.java,12,2,4
Blockinger\src\org\blockinger\game\pieces\OPiece.java,Blockinger\src\org\blockinger\game\pieces\Piece4x4.java,2,2,2
